seq_id,print_id,tile_id,saturated
68,SI266220200309225433,4,0
69,SI266220200309225433,5,0
70,SI266220200309225433,6,0
71,SI266220200309225433,7,91
72,SI266220200309225433,8,0
73,SI266220200309225433,9,0
74,SI266220200309225433,10,0
75,SI266220200309225433,11,0
76,SI266220200309225433,12,0
77,SI266220200309225433,13,0
78,SI266220200309225433,14,0
79,SI266220200309225433,15,0
80,SI266220200309225433,0,0
81,SI266220200309225433,1,0
82,SI266220200309225433,2,0
83,SI266220200309225433,3,396
84,SI266220200309225433,4,0
85,SI266220200309225433,5,0
86,SI266220200309225433,6,0
87,SI266220200309225433,7,727
88,SI266220200309225433,8,0
89,SI266220200309225433,9,0
90,SI266220200309225433,10,0
91,SI266220200309225433,11,0
92,SI266220200309225433,12,0
93,SI266220200309225433,13,0
94,SI266220200309225433,14,0
95,SI266220200309225433,15,0
96,SI266220200309225433,0,0
97,SI266220200309225433,1,0
98,SI266220200309225433,2,0
99,SI266220200309225433,3,7571
0,SI266220200309225433,0,0
1,SI266220200309225433,1,0
2,SI266220200309225433,2,0
3,SI266220200309225433,3,5639
4,SI266220200309225433,4,668
5,SI266220200309225433,5,0
6,SI266220200309225433,6,0
7,SI266220200309225433,7,4555
8,SI266220200309225433,8,0
9,SI266220200309225433,9,1712
10,SI266220200309225433,10,787
11,SI266220200309225433,11,0
12,SI266220200309225433,12,5
13,SI266220200309225433,13,0
14,SI266220200309225433,14,0
15,SI266220200309225433,15,0
16,SI266220200309225433,0,0
17,SI266220200309225433,1,0
18,SI266220200309225433,2,0
19,SI266220200309225433,3,348
20,SI266220200309225433,4,0
21,SI266220200309225433,5,0
22,SI266220200309225433,6,0
23,SI266220200309225433,7,298
24,SI266220200309225433,8,0
25,SI266220200309225433,9,0
26,SI266220200309225433,10,0
27,SI266220200309225433,11,0
28,SI266220200309225433,12,0
29,SI266220200309225433,13,0
30,SI266220200309225433,14,0
31,SI266220200309225433,15,0
32,SI266220200309225433,0,0
33,SI266220200309225433,1,0
34,SI266220200309225433,2,0
35,SI266220200309225433,3,1253
36,SI266220200309225433,4,0
37,SI266220200309225433,5,0
38,SI266220200309225433,6,0
39,SI266220200309225433,7,113
40,SI266220200309225433,8,0
41,SI266220200309225433,9,0
42,SI266220200309225433,10,0
43,SI266220200309225433,11,0
44,SI266220200309225433,12,0
45,SI266220200309225433,13,0
46,SI266220200309225433,14,0
47,SI266220200309225433,15,0
48,SI266220200309225433,0,0
49,SI266220200309225433,1,0
50,SI266220200309225433,2,77
51,SI266220200309225433,3,6667
52,SI266220200309225433,4,0
53,SI266220200309225433,5,129
54,SI266220200309225433,6,0
55,SI266220200309225433,7,2895
56,SI266220200309225433,8,0
57,SI266220200309225433,9,358
58,SI266220200309225433,10,4
59,SI266220200309225433,11,0
60,SI266220200309225433,12,0
61,SI266220200309225433,13,0
62,SI266220200309225433,14,0
63,SI266220200309225433,15,0
64,SI266220200309225433,0,0
65,SI266220200309225433,1,0
66,SI266220200309225433,2,0
67,SI266220200309225433,3,268
68,SI266220200309225433,4,0
69,SI266220200309225433,5,0
70,SI266220200309225433,6,0
71,SI266220200309225433,7,91
72,SI266220200309225433,8,0
0,SI266220200309225433,0,0
1,SI266220200309225433,1,0
2,SI266220200309225433,2,0
3,SI266220200309225433,3,5639
4,SI266220200309225433,4,668
5,SI266220200309225433,5,0
6,SI266220200309225433,6,0
7,SI266220200309225433,7,4555
8,SI266220200309225433,8,0
9,SI266220200309225433,9,1712
10,SI266220200309225433,10,787
11,SI266220200309225433,11,0
12,SI266220200309225433,12,5
13,SI266220200309225433,13,0
14,SI266220200309225433,14,0
15,SI266220200309225433,15,0
16,SI266220200309225433,0,0
17,SI266220200309225433,1,0
18,SI266220200309225433,2,0
19,SI266220200309225433,3,348
20,SI266220200309225433,4,0
21,SI266220200309225433,5,0
22,SI266220200309225433,6,0
23,SI266220200309225433,7,298
24,SI266220200309225433,8,0
25,SI266220200309225433,9,0
26,SI266220200309225433,10,0
27,SI266220200309225433,11,0
28,SI266220200309225433,12,0
29,SI266220200309225433,13,0
30,SI266220200309225433,14,0
31,SI266220200309225433,15,0
32,SI266220200309225433,0,0
33,SI266220200309225433,1,0
34,SI266220200309225433,2,0
35,SI266220200309225433,3,1253
36,SI266220200309225433,4,0
37,SI266220200309225433,5,0
38,SI266220200309225433,6,0
39,SI266220200309225433,7,113
40,SI266220200309225433,8,0
41,SI266220200309225433,9,0
42,SI266220200309225433,10,0
43,SI266220200309225433,11,0
44,SI266220200309225433,12,0
45,SI266220200309225433,13,0
46,SI266220200309225433,14,0
47,SI266220200309225433,15,0
48,SI266220200309225433,0,0
49,SI266220200309225433,1,0
50,SI266220200309225433,2,77
51,SI266220200309225433,3,6667
52,SI266220200309225433,4,0
53,SI266220200309225433,5,129
54,SI266220200309225433,6,0
55,SI266220200309225433,7,2895
56,SI266220200309225433,8,0
0,SI266220200309225433,0,0
1,SI266220200309225433,1,0
2,SI266220200309225433,2,0
3,SI266220200309225433,3,5639
4,SI266220200309225433,4,668
5,SI266220200309225433,5,0
6,SI266220200309225433,6,0
7,SI266220200309225433,7,4555
8,SI266220200309225433,8,0
9,SI266220200309225433,9,1712
10,SI266220200309225433,10,787
11,SI266220200309225433,11,0
12,SI266220200309225433,12,5
13,SI266220200309225433,13,0
14,SI266220200309225433,14,0
15,SI266220200309225433,15,0
16,SI266220200309225433,0,0
17,SI266220200309225433,1,0
18,SI266220200309225433,2,0
19,SI266220200309225433,3,348
20,SI266220200309225433,4,0
21,SI266220200309225433,5,0
22,SI266220200309225433,6,0
23,SI266220200309225433,7,298
24,SI266220200309225433,8,0
25,SI266220200309225433,9,0
26,SI266220200309225433,10,0
27,SI266220200309225433,11,0
28,SI266220200309225433,12,0
29,SI266220200309225433,13,0
30,SI266220200309225433,14,0
31,SI266220200309225433,15,0
32,SI266220200309225433,0,0
33,SI266220200309225433,1,0
34,SI266220200309225433,2,0
35,SI266220200309225433,3,1253
36,SI266220200309225433,4,0
37,SI266220200309225433,5,0
38,SI266220200309225433,6,0
39,SI266220200309225433,7,113
40,SI266220200309225433,8,0
41,SI266220200309225433,9,0
42,SI266220200309225433,10,0
43,SI266220200309225433,11,0
44,SI266220200309225433,12,0
45,SI266220200309225433,13,0
46,SI266220200309225433,14,0
47,SI266220200309225433,15,0
48,SI266220200309225433,0,0
49,SI266220200309225433,1,0
50,SI266220200309225433,2,77
51,SI266220200309225433,3,6667
52,SI266220200309225433,4,0
53,SI266220200309225433,5,129
54,SI266220200309225433,6,0
55,SI266220200309225433,7,2895
56,SI266220200309225433,8,0
57,SI266220200309225433,9,358
58,SI266220200309225433,10,4
59,SI266220200309225433,11,0
60,SI266220200309225433,12,0
61,SI266220200309225433,13,0
62,SI266220200309225433,14,0
63,SI266220200309225433,15,0
64,SI266220200309225433,0,0
65,SI266220200309225433,1,0
66,SI266220200309225433,2,0
67,SI266220200309225433,3,268
68,SI266220200309225433,4,0
69,SI266220200309225433,5,0
70,SI266220200309225433,6,0
71,SI266220200309225433,7,91
72,SI266220200309225433,8,0
73,SI266220200309225433,9,0
74,SI266220200309225433,10,0
75,SI266220200309225433,11,0
76,SI266220200309225433,12,0
77,SI266220200309225433,13,0
78,SI266220200309225433,14,0
79,SI266220200309225433,15,0
80,SI266220200309225433,0,0
81,SI266220200309225433,1,0
82,SI266220200309225433,2,0
83,SI266220200309225433,3,396
84,SI266220200309225433,4,0
85,SI266220200309225433,5,0
86,SI266220200309225433,6,0
87,SI266220200309225433,7,727
88,SI266220200309225433,8,0
89,SI266220200309225433,9,0
90,SI266220200309225433,10,0
91,SI266220200309225433,11,0
92,SI266220200309225433,12,0
93,SI266220200309225433,13,0
94,SI266220200309225433,14,0
95,SI266220200309225433,15,0
96,SI266220200309225433,0,0
97,SI266220200309225433,1,0
98,SI266220200309225433,2,0
99,SI266220200309225433,3,7571
100,SI266220200309225433,4,0
101,SI266220200309225433,5,0
102,SI266220200309225433,6,0
103,SI266220200309225433,7,3084
104,SI266220200309225433,8,0
105,SI266220200309225433,9,6
106,SI266220200309225433,10,0
107,SI266220200309225433,11,0
108,SI266220200309225433,12,0
109,SI266220200309225433,13,0
110,SI266220200309225433,14,0
111,SI266220200309225433,15,0
112,SI266220200309225433,0,0
113,SI266220200309225433,1,0
114,SI266220200309225433,2,0
115,SI266220200309225433,3,1583
116,SI266220200309225433,4,0
117,SI266220200309225433,5,0
118,SI266220200309225433,6,0
119,SI266220200309225433,7,0
120,SI266220200309225433,8,0
121,SI266220200309225433,9,0
122,SI266220200309225433,10,0
123,SI266220200309225433,11,0
124,SI266220200309225433,12,0
125,SI266220200309225433,13,0
126,SI266220200309225433,14,0
127,SI266220200309225433,15,0
128,SI266220200309225433,0,0
129,SI266220200309225433,1,0
130,SI266220200309225433,2,0
131,SI266220200309225433,3,2418
132,SI266220200309225433,4,0
133,SI266220200309225433,5,0
134,SI266220200309225433,6,0
135,SI266220200309225433,7,918
136,SI266220200309225433,8,0
137,SI266220200309225433,9,0
138,SI266220200309225433,10,26
139,SI266220200309225433,11,0
140,SI266220200309225433,12,0
141,SI266220200309225433,13,0
142,SI266220200309225433,14,0
143,SI266220200309225433,15,0
144,SI266220200309225433,0,0
145,SI266220200309225433,1,0
146,SI266220200309225433,2,0
147,SI266220200309225433,3,832
148,SI266220200309225433,4,0
149,SI266220200309225433,5,0
150,SI266220200309225433,6,0
151,SI266220200309225433,7,265
152,SI266220200309225433,8,0
153,SI266220200309225433,9,6
154,SI266220200309225433,10,26
155,SI266220200309225433,11,0
156,SI266220200309225433,12,0
157,SI266220200309225433,13,0
158,SI266220200309225433,14,0
159,SI266220200309225433,15,0
160,SI266220200309225433,0,0
161,SI266220200309225433,1,0
162,SI266220200309225433,2,0
163,SI266220200309225433,3,986
164,SI266220200309225433,4,0
165,SI266220200309225433,5,0
166,SI266220200309225433,6,0
167,SI266220200309225433,7,72
168,SI266220200309225433,8,0
169,SI266220200309225433,9,7
170,SI266220200309225433,10,0
171,SI266220200309225433,11,0
172,SI266220200309225433,12,0
173,SI266220200309225433,13,0
174,SI266220200309225433,14,0
175,SI266220200309225433,15,0
176,SI266220200309225433,0,0
177,SI266220200309225433,1,0
178,SI266220200309225433,2,0
179,SI266220200309225433,3,3055
180,SI266220200309225433,4,0
181,SI266220200309225433,5,0
182,SI266220200309225433,6,0
183,SI266220200309225433,7,1080
184,SI266220200309225433,8,0
185,SI266220200309225433,9,0
186,SI266220200309225433,10,1
187,SI266220200309225433,11,0
188,SI266220200309225433,12,0
189,SI266220200309225433,13,0
190,SI266220200309225433,14,0
191,SI266220200309225433,15,0
192,SI266220200309225433,0,0
193,SI266220200309225433,1,0
194,SI266220200309225433,2,0
195,SI266220200309225433,3,1397
196,SI266220200309225433,4,0
197,SI266220200309225433,5,0
198,SI266220200309225433,6,0
199,SI266220200309225433,7,280
200,SI266220200309225433,8,0
201,SI266220200309225433,9,19
202,SI266220200309225433,10,0
203,SI266220200309225433,11,0
204,SI266220200309225433,12,0
205,SI266220200309225433,13,0
206,SI266220200309225433,14,0
207,SI266220200309225433,15,0
208,SI266220200309225433,0,0
209,SI266220200309225433,1,0
210,SI266220200309225433,2,0
211,SI266220200309225433,3,1558
212,SI266220200309225433,4,0
213,SI266220200309225433,5,0
214,SI266220200309225433,6,0
215,SI266220200309225433,7,246
216,SI266220200309225433,8,0
217,SI266220200309225433,9,15
218,SI266220200309225433,10,85
219,SI266220200309225433,11,0
220,SI266220200309225433,12,0
221,SI266220200309225433,13,0
222,SI266220200309225433,14,0
223,SI266220200309225433,15,0
224,SI266220200309225433,0,0
225,SI266220200309225433,1,0
226,SI266220200309225433,2,0
227,SI266220200309225433,3,4348
228,SI266220200309225433,4,0
229,SI266220200309225433,5,0
230,SI266220200309225433,6,0
231,SI266220200309225433,7,1320
232,SI266220200309225433,8,0
233,SI266220200309225433,9,70
234,SI266220200309225433,10,39
235,SI266220200309225433,11,0
236,SI266220200309225433,12,0
237,SI266220200309225433,13,0
238,SI266220200309225433,14,0
239,SI266220200309225433,15,0
240,SI266220200309225433,0,0
241,SI266220200309225433,1,0
242,SI266220200309225433,2,0
243,SI266220200309225433,3,1359
244,SI266220200309225433,4,0
245,SI266220200309225433,5,0
246,SI266220200309225433,6,0
247,SI266220200309225433,7,36
248,SI266220200309225433,8,0
249,SI266220200309225433,9,40
250,SI266220200309225433,10,0
251,SI266220200309225433,11,0
252,SI266220200309225433,12,0
253,SI266220200309225433,13,0
254,SI266220200309225433,14,0
255,SI266220200309225433,15,0
256,SI266220200309225433,0,0
257,SI266220200309225433,1,0
258,SI266220200309225433,2,0
259,SI266220200309225433,3,1820
260,SI266220200309225433,4,0
261,SI266220200309225433,5,0
262,SI266220200309225433,6,0
263,SI266220200309225433,7,421
264,SI266220200309225433,8,0
265,SI266220200309225433,9,61
266,SI266220200309225433,10,0
267,SI266220200309225433,11,0
268,SI266220200309225433,12,0
269,SI266220200309225433,13,0
270,SI266220200309225433,14,0
271,SI266220200309225433,15,0
272,SI266220200309225433,0,0
273,SI266220200309225433,1,0
274,SI266220200309225433,2,0
275,SI266220200309225433,3,1469
276,SI266220200309225433,4,0
277,SI266220200309225433,5,0
278,SI266220200309225433,6,0
279,SI266220200309225433,7,586
280,SI266220200309225433,8,0
281,SI266220200309225433,9,95
282,SI266220200309225433,10,4
283,SI266220200309225433,11,0
284,SI266220200309225433,12,0
285,SI266220200309225433,13,0
286,SI266220200309225433,14,0
287,SI266220200309225433,15,0
288,SI266220200309225433,0,0
289,SI266220200309225433,1,0
290,SI266220200309225433,2,0
291,SI266220200309225433,3,1233
292,SI266220200309225433,4,0
293,SI266220200309225433,5,0
294,SI266220200309225433,6,0
295,SI266220200309225433,7,189
296,SI266220200309225433,8,0
297,SI266220200309225433,9,21
298,SI266220200309225433,10,13
299,SI266220200309225433,11,0
300,SI266220200309225433,12,0
301,SI266220200309225433,13,0
302,SI266220200309225433,14,0
303,SI266220200309225433,15,0
304,SI266220200309225433,0,0
305,SI266220200309225433,1,0
306,SI266220200309225433,2,0
307,SI266220200309225433,3,5077
308,SI266220200309225433,4,18
309,SI266220200309225433,5,16
310,SI266220200309225433,6,0
311,SI266220200309225433,7,1444
312,SI266220200309225433,8,0
313,SI266220200309225433,9,0
314,SI266220200309225433,10,85
315,SI266220200309225433,11,0
316,SI266220200309225433,12,0
317,SI266220200309225433,13,0
318,SI266220200309225433,14,0
319,SI266220200309225433,15,0
320,SI266220200309225433,0,0
321,SI266220200309225433,1,0
322,SI266220200309225433,2,0
323,SI266220200309225433,3,2336
324,SI266220200309225433,4,0
325,SI266220200309225433,5,0
326,SI266220200309225433,6,0
327,SI266220200309225433,7,368
328,SI266220200309225433,8,0
329,SI266220200309225433,9,56
330,SI266220200309225433,10,67
331,SI266220200309225433,11,0
332,SI266220200309225433,12,0
333,SI266220200309225433,13,0
334,SI266220200309225433,14,0
335,SI266220200309225433,15,0
336,SI266220200309225433,0,0
337,SI266220200309225433,1,0
338,SI266220200309225433,2,0
339,SI266220200309225433,3,2322
340,SI266220200309225433,4,0
341,SI266220200309225433,5,0
342,SI266220200309225433,6,0
343,SI266220200309225433,7,352
344,SI266220200309225433,8,0
345,SI266220200309225433,9,109
346,SI266220200309225433,10,0
347,SI266220200309225433,11,0
348,SI266220200309225433,12,0
349,SI266220200309225433,13,0
350,SI266220200309225433,14,0
351,SI266220200309225433,15,0
352,SI266220200309225433,0,0
353,SI266220200309225433,1,0
354,SI266220200309225433,2,0
355,SI266220200309225433,3,8428
356,SI266220200309225433,4,0
357,SI266220200309225433,5,1
358,SI266220200309225433,6,0
359,SI266220200309225433,7,3387
360,SI266220200309225433,8,0
361,SI266220200309225433,9,78
362,SI266220200309225433,10,0
363,SI266220200309225433,11,0
364,SI266220200309225433,12,0
365,SI266220200309225433,13,0
366,SI266220200309225433,14,0
367,SI266220200309225433,15,0
368,SI266220200309225433,0,0
369,SI266220200309225433,1,0
370,SI266220200309225433,2,0
371,SI266220200309225433,3,2389
372,SI266220200309225433,4,0
373,SI266220200309225433,5,0
374,SI266220200309225433,6,0
375,SI266220200309225433,7,360
376,SI266220200309225433,8,0
377,SI266220200309225433,9,51
378,SI266220200309225433,10,0
379,SI266220200309225433,11,0
380,SI266220200309225433,12,0
381,SI266220200309225433,13,0
382,SI266220200309225433,14,0
383,SI266220200309225433,15,0
384,SI266220200309225433,0,0
385,SI266220200309225433,1,0
386,SI266220200309225433,2,0
387,SI266220200309225433,3,1804
388,SI266220200309225433,4,0
389,SI266220200309225433,5,0
390,SI266220200309225433,6,0
391,SI266220200309225433,7,426
392,SI266220200309225433,8,0
393,SI266220200309225433,9,0
394,SI266220200309225433,10,141
395,SI266220200309225433,11,0
396,SI266220200309225433,12,0
397,SI266220200309225433,13,0
398,SI266220200309225433,14,0
399,SI266220200309225433,15,0
400,SI266220200309225433,0,0
401,SI266220200309225433,1,0
402,SI266220200309225433,2,0
403,SI266220200309225433,3,2998
404,SI266220200309225433,4,0
405,SI266220200309225433,5,0
406,SI266220200309225433,6,0
407,SI266220200309225433,7,766
408,SI266220200309225433,8,0
409,SI266220200309225433,9,47
410,SI266220200309225433,10,86
411,SI266220200309225433,11,0
412,SI266220200309225433,12,0
413,SI266220200309225433,13,0
414,SI266220200309225433,14,0
415,SI266220200309225433,15,0
416,SI266220200309225433,0,0
417,SI266220200309225433,1,0
418,SI266220200309225433,2,0
419,SI266220200309225433,3,2380
420,SI266220200309225433,4,0
421,SI266220200309225433,5,0
422,SI266220200309225433,6,0
423,SI266220200309225433,7,78
424,SI266220200309225433,8,0
425,SI266220200309225433,9,49
426,SI266220200309225433,10,0
427,SI266220200309225433,11,0
428,SI266220200309225433,12,0
429,SI266220200309225433,13,0
430,SI266220200309225433,14,0
431,SI266220200309225433,15,0
432,SI266220200309225433,0,0
433,SI266220200309225433,1,0
434,SI266220200309225433,2,0
435,SI266220200309225433,3,5697
436,SI266220200309225433,4,0
437,SI266220200309225433,5,0
438,SI266220200309225433,6,1
439,SI266220200309225433,7,2688
440,SI266220200309225433,8,0
441,SI266220200309225433,9,17
442,SI266220200309225433,10,8
443,SI266220200309225433,11,0
444,SI266220200309225433,12,0
445,SI266220200309225433,13,0
446,SI266220200309225433,14,0
447,SI266220200309225433,15,0
448,SI266220200309225433,0,0
449,SI266220200309225433,1,0
450,SI266220200309225433,2,0
451,SI266220200309225433,3,2357
452,SI266220200309225433,4,0
453,SI266220200309225433,5,0
454,SI266220200309225433,6,0
455,SI266220200309225433,7,607
456,SI266220200309225433,8,0
457,SI266220200309225433,9,146
458,SI266220200309225433,10,3
459,SI266220200309225433,11,0
460,SI266220200309225433,12,0
461,SI266220200309225433,13,0
462,SI266220200309225433,14,0
463,SI266220200309225433,15,0
464,SI266220200309225433,0,0
465,SI266220200309225433,1,0
466,SI266220200309225433,2,0
467,SI266220200309225433,3,1802
468,SI266220200309225433,4,0
469,SI266220200309225433,5,1
470,SI266220200309225433,6,0
471,SI266220200309225433,7,450
472,SI266220200309225433,8,0
473,SI266220200309225433,9,34
474,SI266220200309225433,10,110
475,SI266220200309225433,11,0
476,SI266220200309225433,12,0
477,SI266220200309225433,13,0
478,SI266220200309225433,14,0
479,SI266220200309225433,15,0
480,SI266220200309225433,0,0
481,SI266220200309225433,1,0
482,SI266220200309225433,2,0
483,SI266220200309225433,3,3654
484,SI266220200309225433,4,0
485,SI266220200309225433,5,0
486,SI266220200309225433,6,0
487,SI266220200309225433,7,1821
488,SI266220200309225433,8,0
489,SI266220200309225433,9,0
490,SI266220200309225433,10,96
491,SI266220200309225433,11,0
492,SI266220200309225433,12,0
493,SI266220200309225433,13,0
494,SI266220200309225433,14,0
495,SI266220200309225433,15,0
496,SI266220200309225433,0,0
497,SI266220200309225433,1,0
498,SI266220200309225433,2,0
499,SI266220200309225433,3,2839
500,SI266220200309225433,4,0
501,SI266220200309225433,5,0
502,SI266220200309225433,6,0
503,SI266220200309225433,7,271
504,SI266220200309225433,8,0
505,SI266220200309225433,9,52
506,SI266220200309225433,10,46
507,SI266220200309225433,11,0
508,SI266220200309225433,12,0
509,SI266220200309225433,13,0
510,SI266220200309225433,14,0
511,SI266220200309225433,15,0
512,SI266220200309225433,0,0
513,SI266220200309225433,1,0
514,SI266220200309225433,2,0
515,SI266220200309225433,3,2713
516,SI266220200309225433,4,0
517,SI266220200309225433,5,0
518,SI266220200309225433,6,0
519,SI266220200309225433,7,717
520,SI266220200309225433,8,0
521,SI266220200309225433,9,59
522,SI266220200309225433,10,0
523,SI266220200309225433,11,0
524,SI266220200309225433,12,0
525,SI266220200309225433,13,0
526,SI266220200309225433,14,0
527,SI266220200309225433,15,0
528,SI266220200309225433,0,0
529,SI266220200309225433,1,0
530,SI266220200309225433,2,0
531,SI266220200309225433,3,2807
532,SI266220200309225433,4,0
533,SI266220200309225433,5,0
534,SI266220200309225433,6,0
535,SI266220200309225433,7,1022
536,SI266220200309225433,8,0
537,SI266220200309225433,9,151
538,SI266220200309225433,10,0
539,SI266220200309225433,11,0
540,SI266220200309225433,12,0
541,SI266220200309225433,13,0
542,SI266220200309225433,14,0
543,SI266220200309225433,15,0
544,SI266220200309225433,0,0
545,SI266220200309225433,1,0
546,SI266220200309225433,2,0
547,SI266220200309225433,3,1383
548,SI266220200309225433,4,0
549,SI266220200309225433,5,0
550,SI266220200309225433,6,0
551,SI266220200309225433,7,203
552,SI266220200309225433,8,0
553,SI266220200309225433,9,42
554,SI266220200309225433,10,0
555,SI266220200309225433,11,0
556,SI266220200309225433,12,0
557,SI266220200309225433,13,0
558,SI266220200309225433,14,0
559,SI266220200309225433,15,0
560,SI266220200309225433,0,0
561,SI266220200309225433,1,0
562,SI266220200309225433,2,0
563,SI266220200309225433,3,3273
564,SI266220200309225433,4,0
565,SI266220200309225433,5,0
566,SI266220200309225433,6,0
567,SI266220200309225433,7,1776
568,SI266220200309225433,8,0
569,SI266220200309225433,9,13
570,SI266220200309225433,10,147
571,SI266220200309225433,11,0
572,SI266220200309225433,12,0
573,SI266220200309225433,13,0
574,SI266220200309225433,14,0
575,SI266220200309225433,15,0
576,SI266220200309225433,0,0
577,SI266220200309225433,1,0
578,SI266220200309225433,2,0
579,SI266220200309225433,3,3020
580,SI266220200309225433,4,0
581,SI266220200309225433,5,0
582,SI266220200309225433,6,0
583,SI266220200309225433,7,535
584,SI266220200309225433,8,0
585,SI266220200309225433,9,70
586,SI266220200309225433,10,72
587,SI266220200309225433,11,0
588,SI266220200309225433,12,0
589,SI266220200309225433,13,0
590,SI266220200309225433,14,0
591,SI266220200309225433,15,0
592,SI266220200309225433,0,0
593,SI266220200309225433,1,0
594,SI266220200309225433,2,0
595,SI266220200309225433,3,3674
596,SI266220200309225433,4,0
597,SI266220200309225433,5,0
598,SI266220200309225433,6,0
599,SI266220200309225433,7,337
600,SI266220200309225433,8,0
601,SI266220200309225433,9,115
602,SI266220200309225433,10,0
603,SI266220200309225433,11,0
604,SI266220200309225433,12,0
605,SI266220200309225433,13,0
606,SI266220200309225433,14,0
607,SI266220200309225433,15,0
608,SI266220200309225433,0,0
609,SI266220200309225433,1,0
610,SI266220200309225433,2,0
611,SI266220200309225433,3,8551
612,SI266220200309225433,4,0
613,SI266220200309225433,5,0
614,SI266220200309225433,6,0
615,SI266220200309225433,7,3269
616,SI266220200309225433,8,0
617,SI266220200309225433,9,53
618,SI266220200309225433,10,2
619,SI266220200309225433,11,0
620,SI266220200309225433,12,0
621,SI266220200309225433,13,0
622,SI266220200309225433,14,0
623,SI266220200309225433,15,0
624,SI266220200309225433,0,0
625,SI266220200309225433,1,0
626,SI266220200309225433,2,0
627,SI266220200309225433,3,2009
628,SI266220200309225433,4,0
629,SI266220200309225433,5,0
630,SI266220200309225433,6,0
631,SI266220200309225433,7,674
632,SI266220200309225433,8,0
633,SI266220200309225433,9,131
634,SI266220200309225433,10,0
635,SI266220200309225433,11,0
636,SI266220200309225433,12,0
637,SI266220200309225433,13,0
638,SI266220200309225433,14,0
639,SI266220200309225433,15,0
640,SI266220200309225433,0,0
641,SI266220200309225433,1,0
642,SI266220200309225433,2,0
643,SI266220200309225433,3,1671
644,SI266220200309225433,4,0
645,SI266220200309225433,5,0
646,SI266220200309225433,6,0
647,SI266220200309225433,7,552
648,SI266220200309225433,8,0
649,SI266220200309225433,9,26
650,SI266220200309225433,10,121
651,SI266220200309225433,11,0
652,SI266220200309225433,12,0
653,SI266220200309225433,13,0
654,SI266220200309225433,14,0
655,SI266220200309225433,15,0
656,SI266220200309225433,0,0
657,SI266220200309225433,1,0
658,SI266220200309225433,2,0
659,SI266220200309225433,3,3715
660,SI266220200309225433,4,0
661,SI266220200309225433,5,0
662,SI266220200309225433,6,0
663,SI266220200309225433,7,542
664,SI266220200309225433,8,4
665,SI266220200309225433,9,36
666,SI266220200309225433,10,66
667,SI266220200309225433,11,0
668,SI266220200309225433,12,0
669,SI266220200309225433,13,0
670,SI266220200309225433,14,0
671,SI266220200309225433,15,0
672,SI266220200309225433,0,0
673,SI266220200309225433,1,0
674,SI266220200309225433,2,0
675,SI266220200309225433,3,2176
676,SI266220200309225433,4,0
677,SI266220200309225433,5,0
678,SI266220200309225433,6,0
679,SI266220200309225433,7,49
680,SI266220200309225433,8,0
681,SI266220200309225433,9,77
682,SI266220200309225433,10,0
683,SI266220200309225433,11,0
684,SI266220200309225433,12,0
685,SI266220200309225433,13,0
686,SI266220200309225433,14,0
687,SI266220200309225433,15,0
688,SI266220200309225433,0,0
689,SI266220200309225433,1,0
690,SI266220200309225433,2,0
691,SI266220200309225433,3,5842
692,SI266220200309225433,4,0
693,SI266220200309225433,5,0
694,SI266220200309225433,6,0
695,SI266220200309225433,7,1195
